qid,prediction,gt_label
WebQTest-31,"['Glasgow', 'Wimbledon']",[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['Horse and Rider', 'Portrait of a Young Fiancée', ""Ginevra de' Benci"", 'Madonna Litta', 'The Battle of Anghiari', ""Leonardo's horse"", 'Virgin of the Rocks', 'Portrait of a Musician', 'Bacchus', 'Drapery for a Seated Figure', 'The Virgin and Child with St. Anne', 'Lucan portrait of Leonardo da Vinci', 'Adoration of the Magi', 'Madonna of the Yarnwinder', 'La belle ferronnière', 'Sala delle Asse', 'St. Jerome in the Wilderness', 'Mona Lisa', 'Madonna and Child with St Joseph', 'The Holy Infants Embracing', 'Benois Madonna', 'Lady with an Ermine', 'The Baptism of Christ', 'The Virgin and Child with St Anne and St John the Baptist', 'Head of a Woman', 'Medusa', 'Leda and the Swan', 'Vitruvian Man', ""Portrait of Isabella d'Este"", 'Portrait of a man in red chalk', 'The Last Supper', 'Salvator Mundi', 'Annunciation', 'St. John the Baptist', 'Madonna of the Carnation', 'Madonna of Laroque']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,"['Haitian Creole', 'Spanish Language', 'Lucumi Language']","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Lithuania', 'Estonia', 'Latvia']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Remote control', 'Wireless telegraphy', 'Induction motor', 'Three-phase electric power', 'Tesla coil', 'Neon lamp', 'Alternating current']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,"['1992 Major League Baseball Season', '1882 Major League Baseball Season', '1966 Major League Baseball Season', '1963 Major League Baseball Season', '1955 Major League Baseball season']","['1983 World Series', '1970 World Series', '1966 World Series']"
